Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
QuirkChat,"Broadcasting, News, Publishing, Social Media","Durham, North Carolina, United States",QuirkChat is a group livestreaming and social networking platform for geeks and hobbyists.,30518
Outward,"Content, Enterprise Software, Home Decor","San Jose, California, United States",Outward develops a digital merchandising platform for the retail industry.,30519
Ganga Kaveri Seeds,"Agriculture, Farming, Service Industry","Hyderabad, Andhra Pradesh, India",Ganga Kaveri Seeds offers agricultural products and services.,30520
CONSTRUCTO,"Architecture, B2B, Construction, Home Improvement, Home Renovation, Real Estate, Real Estate Investment, SaaS","San Jose, California, United States",Online Preconstruction Platform for Builders and Design Professionals,30521
Swarm Fund,"Blockchain, Crowdfunding, Financial Services, FinTech, Information Technology, Internet, Non Profit","Palo Alto, California, United States","Swarm Fund is the blockchain for private equity, opening up access to the new digital economy.",30522
ZCOOL,"Content, E-Commerce","Beijing, Beijing, China",ZCOOL operates as an online community platform for designers.,30523
StrongSalt,"Blockchain, Cloud Security, Computer, Enterprise Applications, Enterprise Software, Internet, Privacy, Security, Software","San Jose, California, United States","StrongSalt is building a secure team communication application providing encrypted messaging, archiving, and search for innovative teams.",30524
NurseDash,"Assisted Living, Elder Care, Health Care, Hospital, Marketplace, Medical, Nursing and Residential Care, Staffing Agency","Houston, Texas, United States",NurseDash is the on-demand healthcare marketplace for providers that need staffing support and qualified candidates looking for open shifts.,30525
Liga de Futbol Profesional,Sports,"Madrid, Madrid, Spain",Liga de Futbol Profesional is the Spanish Professional Football League,30526
RtBrick,"Cloud Computing, Network Security, Software","Princeton, New Jersey, United States",Cloud scale composable Software to drive platform of customer’s choice.,30527
Cask,"Analytics, Big Data, Developer APIs, Open Source, Software","Palo Alto, California, United States",Cask provides the first unified integration platform for Hadoop and Apache Spark.,30528
Hardbacon,"Finance, Financial Services, FinTech, Venture Capital","Montréal, Quebec, Canada",Hardbacon strives to help Canadians make better financial decisions.,30529
Pro-ficiency,"Clinical Trials, Health Care, Simulation, Training","Durham, North Carolina, United States",Pro-ficiency is provider of tech-enabled training and compliance solutions for clinical trials.,30530
PlasmaPay,"Banking, Blockchain, Cryptocurrency, Financial Services, FinTech, Information Technology, Internet, Mobile Payments, Payments","Tallinn, Harjumaa, Estonia",PlasmaPay is a crypto/fiat payment system and fintech platform for new financial services,30531
Synergi,Software,"Helsinki, Southern Finland, Finland",Synergi is a climate-smart way of using electricity and the grid.,30532
Cega,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech",,The decentralized exotic derivatives protocol,30533
Rezilient Health,"Hardware, Health Care, Medical, Robotics","St Louis, Missouri, United States",We bring the world's best doctors to your neighborhood.,30534
Capsilon,"Cloud Computing, Document Management, Software","San Francisco, California, United States",Capsilon Corporation provides cloud-based imaging and collaboration solutions for the mortgage industry.,30535
D2X Group,"Blockchain, Cryptocurrency, Financial Exchanges, Financial Services","Amsterdam, Noord-Holland, The Netherlands",The pan-European digital derivatives exchange.,30536
dotloop,"Commercial Real Estate, Internet, Real Estate, Real Estate Investment, Software","Cincinnati, Ohio, United States","dotloop provides a secure online platform where real estate agents, buyers, and sellers can collaborate to complete transactions online.",30537
Rhithm,"EdTech, Information Technology, Software","Fort Worth, Texas, United States","Rhithm is a wellness company currently serving K12 students, staff and administrators.",30538
Chia Network,"Blockchain, Cryptocurrency, FinTech","San Francisco, California, United States",Chia Network is building a blockchain platform based on Proofs of Space and Time.,30539
Shikhar Microfinance,"Finance, Financial Services, Micro Lending","New Delhi, Delhi, India",Shikhar Microfinance empowers communities by providing financial services and livelihood opportunities to the underprivileged segments.,30540
Huddly,"Artificial Intelligence, Collaboration, Computer Vision, Electronics, Machine Learning, Software, Video Conferencing","Oslo, Oslo, Norway",Huddly is a technology company that creates tools for team collaboration.,30541
Shrimpy,"Blockchain, Cryptocurrency, Developer APIs, FinTech, Trading Platform","Santa Clara, California, United States","Shrimpy is the most trusted way to trade on crypto exchanges. APIs for exchange management, trade execution, and real-time data collection.",30542
Panavision,"Manufacturing, Photography, Product Design","Woodland Hills, California, United States",Panavision is a designer and manufacturer of high-precision camera systems.,30543
QEDIT,"Blockchain, Compliance, Computer, Information Technology, Network Security, Privacy","Tel Aviv, Tel Aviv, Israel",QEDIT helps businesses accelerate trust with Zero-Knowledge Blockchains.,30544
SignUp.com,"Apps, Communities, Education, Event Management, Non Profit, SaaS, Small and Medium Businesses, Software, Sports","Austin, Texas, United States","SignUp.com is a provider of free, digital solutions for group and activity coordination.",30545
Mystery Tackle Box,"Commercial, E-Commerce, Recreation, Retail, Sports","Chicago, Illinois, United States",Mystery Tackle Box is a retail company that deals with fishing products at affordable prices.,30546
BombBomb,"Email Marketing, Enterprise Software, Software, Video","Colorado Springs, Colorado, United States",BombBomb software is helping to build better business relationships with video messaging.,30547
Farmer Connect,"AgTech, Farming","Vernier, Geneve, Switzerland",Farmer Connect is an agtech scaleup that provides software to help smallholder farmers connect digitally to the agriculture supply chain.,30548
Marshmallow Games,"Apps, EdTech, Education, iOS, STEM Education","Bari, Puglia, Italy",Marshmallow Games creates educational apps for kids. With our games kids can safely learn while having fun.,30549
Switchboard,"Internet, Publishing, Software","Atlanta, Georgia, United States",Switchboard — which makes an innovative dev platform that includes the first error monitoring and incident response functionalities.,30550
AppJobs.com,"Advertising Platforms, Communities, Publishing, Sharing Economy, Virtual Workforce","Stockholm, Stockholms Lan, Sweden",Appjobs helps gig workers multi-app better with a series of products,30551
Yesler,"Building Material, Internet, Marketplace","Seattle, Washington, United States",Yesler is a marketplace for lumber and building materials industries.,30552
Tern,"Angel Investment, Financial Services","London, England, United Kingdom",Tern Plc. is an AIM-quoted investment company focussed on the fast changing IoT sector.,30553
Element3 Health,"Health Care, Medical, Wellness","Denver, Colorado, United States","Element3 Health provides an engagement platform that keeps seniors socially, mentally, and physically active.",30554
TankU,"Apps, Artificial Intelligence, Automotive, Autonomous Vehicles, Fuel, Software","Haifa, Hefa, Israel",Computer Vision AI Solutions for Outdoor Retail,30555
Telegram Messenger,"Messaging, Mobile Apps, Social Media","Dubai, Dubai, United Arab Emirates","Telegram is a cloud-based mobile and desktop messaging app with a focus on privacy, security, and speed.",30556
Lunewave,"Autonomous Vehicles, Electrical Distribution, Electronics, Sensor","Tucson, Arizona, United States",Lunewave provides Luneburg lens-based antenna and automotive radar sensor system.,30557
Fabric,"Internet, Software, Sports","Los Angeles, California, United States","Fabric offers a geospatial platform that enables sports teams to create and launch a Space, a social 3D jumbotron in every fan's pocket.",30558
Layer,"Gaming, Marketplace, Media and Entertainment, Video Games","Brisbane, Queensland, Australia",IP Licensing Marketplace for Games,30559
Stratzy,"Financial Services, FinTech","Mumbai, Maharashtra, India",Stratzy let's users invest in ideas and strategies and bringing institutional-grade investment products to everyday investors.,30560
Moonwell Finance,Blockchain,,Moonwell is an open lending and borrowing DeFi protocol on Moonbeam & Moonriver.,30561
MindMed,"Biotechnology, Health Care, Pharmaceutical","New York, New York, United States",MindMed provides psychedelic-inspired medicines and therapies for substance abuse disorders and other mental illnesses.,30562
